id,console-name,product-name,loose-price,cib-price,new-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,asin,epid,gamestop-price,gamestop-trade-price
21051,Wii,Calling,$12.82,$15.00,$19.99,$2.60,$12.99,$3.20,$15.99,$6.30,$20.99,B0030GBTYC,71640277,$14.99,$2.40
31348,Wii,Calvin Tucker's Redneck Farm Animal Racing Tournament,$2.01,$6.43,$3.25,,$2.09,$1.40,$6.79,,$3.39,B003E66YAC,92946903,$4.99,
16081,Wii,Calvin Tucker's Redneck Jamboree,$1.32,$5.30,$1.25,,$1.99,$1.10,$5.59,,$1.99,B00182QCZG,66745855,$4.99,
31148,Wii,Canada Hunt,$3.87,$6.48,$12.99,$0.82,$4.09,$1.40,$6.79,$2.80,$13.99,B00BG7IDHI,97344745,$4.99,$0.20
16165,Wii,Candace Kane's Candy Factory,$1.00,$1.25,$15.95,,$1.99,$1.00,$4.99,$3.40,$16.99,B001C3N0OM,69561613,$4.99,
31613,Wii,Captain America: Super Soldier,$9.00,$9.99,$19.99,$1.90,$9.49,$2.00,$9.99,$6.30,$20.99,B004RIACMM,93603624,$4.99,
7289,Wii,Carnival Games,$3.00,$3.25,$15.26,,$3.19,$1.00,$4.99,$3.20,$15.99,B000QD7BBM,60544457,$4.99,
14653,Wii,Carnival Games Mini Golf,$4.34,$5.00,$11.70,$0.92,$4.59,$1.10,$5.29,$2.40,$11.99,B001B1W3HA,65773576,$6.99,$0.60
7290,Wii,Cars,$9.00,$10.25,$28.05,$1.90,$9.49,$2.20,$10.99,$8.70,$28.99,B000GUQJQ8,53803694,$9.99,$1.20
31514,Wii,Cars 2,$6.50,$7.76,$19.63,$1.36,$6.79,$1.60,$8.19,$6.30,$20.99,B004M8K9AW,99716048,$6.99,$0.60
10350,Wii,Cars Mater-National Championship,$4.99,$5.29,$17.50,$1.00,$4.99,$1.10,$5.59,$3.60,$17.99,B000S1MMG6,59779596,$4.99,$0.40
19727,Wii,Cars Race-O-Rama,$5.79,$6.44,$9.99,$1.22,$6.09,$1.40,$6.79,$2.00,$9.99,B002BUQFXS,73571058,$4.99,$0.40
30337,Wii,Cars Toon: Mater's Tall Tales,$4.75,$5.45,$12.38,$1.00,$4.99,$1.10,$5.69,$2.60,$12.99,B003T8BWXO,92886084,$6.99,$0.60
32265,Wii,Cartoon Network: Punch Time Explosion,$5.50,$12.97,$11.99,$1.16,$5.79,$2.80,$13.99,$2.60,$12.99,B004Q4PE8E,114442412,$4.99,$0.80
22188,Wii,Casper Scare School: Spooky Sports Day,$1.00,$6.29,$14.99,,$1.99,$1.30,$6.59,$3.20,$15.99,B003IY48D0,74134455,$4.99,
13227,Wii,Castle of Shikigami III,$32.97,$42.00,$59.95,$10.50,$34.99,$17.60,$43.99,$25.20,$62.99,B00139YHNI,62895038,$29.99,$8.00
